timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672065927976,3706,POST REGISTER,201,Created,Thread Group Normal Test 1-38,text,false,"The operation lasted too long: It took 3,706 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,724,72,72,https://market-final-project.herokuapp.com/auth/register,3689,0,3283
1672065925164,7518,POST REGISTER,201,Created,Thread Group Normal Test 1-3,text,false,"The operation lasted too long: It took 7,518 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,760,84,84,https://market-final-project.herokuapp.com/auth/register,7518,0,6190
1672065925640,7048,POST REGISTER,201,Created,Thread Group Normal Test 1-13,text,false,"The operation lasted too long: It took 7,048 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,732,84,84,https://market-final-project.herokuapp.com/auth/register,7048,0,5663
1672065929263,3425,POST REGISTER,201,Created,Thread Group Normal Test 1-48,text,false,"The operation lasted too long: It took 3,425 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,752,84,84,https://market-final-project.herokuapp.com/auth/register,3425,0,2033
1672065925186,7505,POST REGISTER,201,Created,Thread Group Normal Test 1-5,text,false,"The operation lasted too long: It took 7,505 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,748,84,84,https://market-final-project.herokuapp.com/auth/register,7505,0,6155
1672065925179,7513,POST REGISTER,201,Created,Thread Group Normal Test 1-4,text,false,"The operation lasted too long: It took 7,513 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,736,84,84,https://market-final-project.herokuapp.com/auth/register,7512,0,6172
1672065926654,6044,POST REGISTER,201,Created,Thread Group Normal Test 1-24,text,false,"The operation lasted too long: It took 6,044 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,740,84,84,https://market-final-project.herokuapp.com/auth/register,6044,0,4672
1672065926434,6266,POST REGISTER,201,Created,Thread Group Normal Test 1-22,text,false,"The operation lasted too long: It took 6,266 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,760,84,84,https://market-final-project.herokuapp.com/auth/register,6266,0,4941
1672065928072,4640,POST REGISTER,201,Created,Thread Group Normal Test 1-39,text,false,"The operation lasted too long: It took 4,640 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,756,84,84,https://market-final-project.herokuapp.com/auth/register,4640,0,3343
1672065925550,7163,POST REGISTER,201,Created,Thread Group Normal Test 1-12,text,false,"The operation lasted too long: It took 7,163 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,740,84,84,https://market-final-project.herokuapp.com/auth/register,7163,0,5854
1672065925435,7277,POST REGISTER,201,Created,Thread Group Normal Test 1-11,text,false,"The operation lasted too long: It took 7,277 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,756,84,84,https://market-final-project.herokuapp.com/auth/register,7277,0,5978
1672065927637,5079,POST REGISTER,201,Created,Thread Group Normal Test 1-34,text,false,"The operation lasted too long: It took 5,079 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,732,84,84,https://market-final-project.herokuapp.com/auth/register,5079,0,3770
1672065926386,6391,POST REGISTER,201,Created,Thread Group Normal Test 1-21,text,false,"The operation lasted too long: It took 6,391 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,756,85,85,https://market-final-project.herokuapp.com/auth/register,6390,0,4927
1672065925908,6869,POST REGISTER,201,Created,Thread Group Normal Test 1-16,text,false,"The operation lasted too long: It took 6,869 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,756,85,85,https://market-final-project.herokuapp.com/auth/register,6869,0,5369
1672065928159,4625,POST REGISTER,201,Created,Thread Group Normal Test 1-40,text,false,"The operation lasted too long: It took 4,625 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,732,85,85,https://market-final-project.herokuapp.com/auth/register,4625,0,3159
1672065926527,6261,POST REGISTER,201,Created,Thread Group Normal Test 1-23,text,false,"The operation lasted too long: It took 6,261 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,732,85,85,https://market-final-project.herokuapp.com/auth/register,6261,0,4746
1672065926113,6689,POST REGISTER,201,Created,Thread Group Normal Test 1-18,text,false,"The operation lasted too long: It took 6,689 milliseconds, but should not have lasted longer than 1,000 milliseconds.",585,740,85,85,https://market-final-project.herokuapp.com/auth/register,6689,0,5171
